x,y,z,E,C,R,A,Memoire
0,0,0,0.960001,0,0.780566,40,0.999
3,0,0,0.960001,0,0.10812,40,1
4,0,0,0.960001,0,0.221643,40,1
7,0,0,0.960001,0,0.436914,40,1
8,0,0,0.960001,0,0.306769,40,0.999
9,0,0,0.960001,0,0.628156,40,1
12,0,0,0.960001,0,0.314169,40,1
13,0,0,0.960001,0,0.61941,40,0.999
15,0,0,0.960001,0,0.41057,40,1
0,1,0,0.960001,0,0.201342,40,1
1,1,0,0.960001,0,0.844347,40,1
2,1,0,0.960001,0,0.460114,40,1
3,1,0,0.960001,0,0.833773,40,0.999
4,1,0,0.960001,0,0.343449,40,1
5,1,0,0.960001,0,0.631729,40,1
6,1,0,0.960001,0,0.321132,40,1
7,1,0,0.960001,0,0.125825,40,1
8,1,0,0.960001,0,0.301689,40,1
9,1,0,0.960001,0,0.168914,40,1
10,1,0,0.960001,0,0.587764,40,1
11,1,0,0.960001,0,0.635635,40,1
12,1,0,0.960001,0,0.37828,40,1
13,1,0,0.960001,0,0.217688,40,1
14,1,0,0.960001,0,0.435636,40,1
0,2,0,0.960001,0,0.704321,40,1
3,2,0,0.960001,0,0.644055,40,0.998
4,2,0,0.960001,0,0.206147,40,1
7,2,0,0.960001,0,0.736194,40,1
9,2,0,0.960001,0,0.842355,40,1
11,2,0,0.960001,0,0.545162,40,1
12,2,0,0.960001,0,0.326011,40,1
13,2,0,0.960001,0,0.295161,40,0.999
15,2,0,0.960001,0,0.793907,40,1
0,3,0,0.960001,0,0.267773,40,0.999
1,3,0,0.960001,0,0.504926,40,1
2,3,0,0.960001,0,0.673778,40,0.997
3,3,0,0.960001,0,0.663467,40,1
4,3,0,0.960001,0,0.213099,40,1
5,3,0,0.960001,0,0.152141,40,1
6,3,0,0.960001,0,0.367449,40,1
7,3,0,0.960001,0,0.218472,40,0.999
8,3,0,0.960001,0,0.764278,40,1
10,3,0,0.960001,0,0.751885,40,0.999
11,3,0,0.960001,0,0.408625,40,0.999
12,3,0,0.960001,0,0.23713,40,1
14,3,0,0.960001,0,0.525685,40,0.996
15,3,0,0.960001,0,0.748931,40,1
1,4,0,0.960001,0,0.816678,40,0.999
2,4,0,0.960001,0,0.525221,40,1
5,4,0,0.960001,0,0.47507,40,0.999
6,4,0,0.960001,0,0.126664,40,1
8,4,0,0.960001,0,0.276762,40,1
9,4,0,0.960001,0,0.462932,40,1
11,4,0,0.960001,0,0.409742,40,1
12,4,0,0.960001,0,0.348096,40,1
15,4,0,0.960001,0,0.333393,40,1
0,5,0,0.960001,0,0.327716,40,1
1,5,0,0.960001,0,0.216704,40,1
2,5,0,0.960001,0,0.539317,40,0.999
3,5,0,0.960001,0,0.458064,40,1
4,5,0,0.960001,0,0.114108,40,1
5,5,0,0.960001,0,0.890712,40,1
6,5,0,0.960001,0,0.514754,40,1
7,5,0,0.960001,0,0.83487,40,1
8,5,0,0.960001,0,0.415752,40,1
9,5,0,0.960001,0,0.196021,40,1
10,5,0,0.960001,0,0.523402,40,0.999
11,5,0,0.960001,0,0.802889,40,1
12,5,0,0.960001,0,0.305958,40,1
13,5,0,0.960001,0,0.508938,40,1
0,6,0,0.960001,0,0.127082,40,1
3,6,0,0.960001,0,0.789974,40,1
4,6,0,0.960001,0,0.465909,40,1
7,6,0,0.960001,0,0.135427,40,1
8,6,0,0.960001,0,0.865739,40,0.995
11,6,0,0.960001,0,0.598786,40,1
0,7,0,0.960001,0,0.313986,40,1
1,7,0,0.960001,0,0.181998,40,0.999
2,7,0,0.960001,0,0.402628,40,1
3,7,0,0.960001,0,0.433956,40,1
4,7,0,0.960001,0,0.121432,40,1
5,7,0,0.960001,0,0.597715,40,1
6,7,0,0.960001,0,0.410089,40,1
7,7,0,0.960001,0,0.465772,40,1
8,7,0,0.960001,0,0.375363,40,0.999
9,7,0,0.960001,0,0.449209,40,0.999
1,8,0,0.960001,0,0.445937,40,1
2,8,0,0.960001,0,0.575854,40,1
5,8,0,0.960001,0,0.752951,40,1
6,8,0,0.960001,0,0.397972,40,1
0,9,0,0.960001,0,0.421712,40,0.999
1,9,0,0.960001,0,0.72687,40,1
2,9,0,0.960001,0,0.820111,40,0.999
3,9,0,0.960001,0,0.804527,40,1
4,9,0,0.960001,0,0.338281,40,0.999
5,9,0,0.960001,0,0.703015,40,0.999
0,10,0,0.960001,0,0.531377,40,1
3,10,0,0.960001,0,0.460683,40,0.999
0,0,1,0.960001,0,0.110151,40,1
1,0,1,0.960001,0,0.555757,40,1
2,0,1,0.960001,0,0.381785,40,1
3,0,1,0.960001,0,0.634518,40,1
4,0,1,0.960001,0,0.831871,40,1
5,0,1,0.960001,0,0.670255,40,1
6,0,1,0.960001,0,0.16018,40,0.999
